"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3","Cosine_Sig4","PeakSensitive_Sig4","Cosine_Sig5","PeakSensitive_Sig5","Cosine_Sig6","PeakSensitive_Sig6","Cosine_Sig7","PeakSensitive_Sig7"
"SBS57",0.103,0.126259628731711,0.086,0.104930613541042,0.134,0.165809849642739,0.211,0.247171137193447,0.186,0.221920437911585,0.176,0.215256404188177,0.232,0.248329149391828
"SBS58",0.092,0.106508586263384,0.132,0.140526273514784,0.129,0.15855038494315,0.349,0.387409246665397,0.25,0.281362888136824,0.225,0.266380658118626,0.137,0.171505536415027
"SBS59",0.006,0.00660054679563335,0.335,0.336050920816652,0.093,0.0930490853600199,0.211,0.222268866013776,0.295,0.302047975910945,0.176,0.175916221943512,0.247,0.247696152123986
"SBS60",0.011,0.0113715646358475,0.073,0.0737338418942444,0.013,0.0127980657964866,0.053,0.0533321831369514,0.012,0.0119427386508746,0.009,0.00905279348979348,0.08,0.0798776048272346
"SBS84",0.125,0.138268558363289,0.128,0.15407737006733,0.477,0.526099942714413,0.226,0.257962496911744,0.202,0.252311202183276,0.151,0.193237812556293,0.266,0.321282612945177
"SBS85",0.033,0.043749733872315,0.04,0.0534048479165223,0.096,0.128972099120869,0.183,0.21090881445749,0.226,0.243159084700183,0.101,0.131590569584418,0.112,0.150694582617371
"SBS86",0.118,0.135803100524826,0.072,0.0822198744105681,0.152,0.171335863008423,0.418,0.449819479660078,0.323,0.35934078849174,0.21,0.227517104129444,0.225,0.256498042113144
"SBS87",0.642,0.709552431041303,0.167,0.20405454811959,0.426,0.483249130566252,0.272,0.317090975998239,0.36,0.394331753204215,0.354,0.403359392220134,0.156,0.206970115494721
"SBS88",0.065,0.0927691321077648,0.054,0.0730458095434574,0.048,0.0776609005332288,0.161,0.198151783393338,0.201,0.245503714563982,0.058,0.0793952514696921,0.156,0.211711599273001
"SBS89",0.1,0.151738828908789,0.385,0.456165293290418,0.309,0.382748250933543,0.512,0.606978021108003,0.393,0.478699634122523,0.403,0.546099067428568,0.384,0.468760270139778
"SBS90",0.021,0.0246588190625592,0.021,0.0235467236638174,0.012,0.0137326054963118,0.108,0.117688472210601,0.047,0.0497097112596986,0.011,0.0131368033148849,0.082,0.0902401059182005
"SBS91",0.023,0.0229326605885418,0.126,0.126765380998099,0.066,0.0661802495627433,0.135,0.135516737148466,0.302,0.305051464169159,0.082,0.0833046434481116,0.047,0.0474959669212296
"SBS92",0.155,0.201332272936104,0.281,0.376081112893572,0.464,0.536901140985381,0.436,0.530189662487681,0.401,0.490952374900665,0.336,0.461710351860751,0.273,0.359384709923757
"SBS93",0.16,0.228533211432517,0.138,0.210846354086059,0.311,0.472246852969262,0.335,0.453828036573369,0.306,0.398387582434192,0.184,0.27993655698629,0.417,0.488797181210437
"SBS94",0.24,0.302797414281729,0.697,0.792988407932681,0.395,0.461042429652069,0.357,0.41735493703696,0.479,0.528860377830225,0.563,0.677009819886042,0.36,0.428386132065575
"SBS96",0.169,0.233126977288191,0.153,0.199572777521763,0.24,0.332890745724603,0.353,0.437889202483152,0.347,0.429764165131957,0.271,0.346695306383613,0.273,0.332434927931397
"SBS97",0.089,0.089610328540481,0.068,0.0682913134421702,0.457,0.463461381223448,0.167,0.167396201813604,0.08,0.0880403371242021,0.235,0.258425340173575,0.161,0.176529861293467
"SBS98",0.315,0.387010696350814,0.142,0.164375151480667,0.275,0.327814576753381,0.297,0.349172249570257,0.232,0.287981768753739,0.232,0.271891194469743,0.256,0.291785364999247
"SBS99",0.064,0.0844770794114822,0.129,0.167222134833438,0.411,0.49001478023388,0.371,0.422407400694722,0.21,0.251309795700915,0.18,0.229091518200478,0.305,0.353216798476908
