"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3","Cosine_Sig4","PeakSensitive_Sig4","Cosine_Sig5","PeakSensitive_Sig5"
"SBS38",0.042,0.0424415792335616,0.488,0.489185405923972,0.265,0.300940374435691,0.119,0.120924717492262,0.304,0.342181582843134
"SBS39",0.135,0.167042844295706,0.236,0.273116159175525,0.406,0.447587680687819,0.5,0.540115691963852,0.372,0.450243376253388
"SBS40b",0.159,0.20554121488194,0.259,0.339160538663558,0.406,0.488301368414981,0.434,0.540697600017395,0.461,0.545840530319987
"SBS40c",0.267,0.315099873753536,0.349,0.443609079199937,0.521,0.612959464996203,0.44,0.562466732984695,0.468,0.562724037828303
"SBS41",0.155,0.179955480031371,0.08,0.0988455639129535,0.234,0.281307714442242,0.301,0.330745608650648,0.271,0.305208319178807
"SBS42",0.215,0.232101684653339,0.382,0.434981873976355,0.467,0.492527974436516,0.22,0.255515771401541,0.385,0.438616620724263
"SBS43",0.016,0.0188338939063607,0.098,0.116890911020692,0.102,0.115074941143415,0.111,0.122601650699989,0.181,0.19267769136919
"SBS44",0.368,0.37536291540276,0.441,0.49199434676365,0.298,0.321026359019623,0.299,0.344067277267007,0.227,0.255728301436285
"SBS45",0.05,0.0514666872803092,0.705,0.716541879997731,0.235,0.268713485824814,0.187,0.205780107489398,0.253,0.283959456491921
"SBS46",0.139,0.155698786008175,0.147,0.191065147180591,0.337,0.403281140189347,0.26,0.285282786473668,0.361,0.447477501212425
"SBS47",0.059,0.0707014060751422,0.118,0.132630348307024,0.144,0.155396850168583,0.235,0.247933694099638,0.105,0.119816465860911
"SBS48",0.018,0.018535116006508,0.055,0.0556130099596673,0.011,0.0107892553062797,0.058,0.058198487715553,0.039,0.0393769173276448
"SBS49",0.011,0.011702657516983,0.243,0.243460537370384,0.116,0.117335502130049,0.126,0.137939800580188,0.267,0.268857049537343
"SBS50",0.097,0.11656577039776,0.204,0.223421842395206,0.305,0.337856932919239,0.361,0.392261191679704,0.196,0.212913252020217
"SBS51",0.112,0.133360317589318,0.202,0.228469956745968,0.228,0.248258003541794,0.269,0.326478899345199,0.148,0.161744273653388
"SBS52",0.038,0.0384571052350889,0.141,0.140903027422324,0.117,0.122889394712289,0.273,0.286057663176023,0.11,0.11555402014163
"SBS53",0.067,0.0700433388401183,0.225,0.227361411697626,0.347,0.355444928746346,0.109,0.110806409006495,0.346,0.362679915260442
"SBS54",0.157,0.159253212953983,0.089,0.101896672670297,0.222,0.225611542606662,0.102,0.117017586248431,0.191,0.201675159408528
"SBS55",0.041,0.0492938947790938,0.087,0.0983419018260334,0.072,0.076672196276836,0.078,0.0886276704809406,0.174,0.19606504839756
"SBS56",0.039,0.0396469339954817,0.284,0.322510834606884,0.054,0.0551624097325965,0.263,0.265098692363281,0.151,0.153437979595815
"SBS57",0.134,0.162805927965934,0.096,0.116608482842006,0.161,0.192459936445919,0.204,0.24047370532373,0.232,0.245393672299403
"SBS58",0.11,0.127038297232494,0.147,0.15432808959369,0.211,0.240205618980842,0.351,0.393746911494928,0.159,0.197671575591636
"SBS59",0.023,0.0238909752867985,0.342,0.342937582466159,0.11,0.110556154481623,0.264,0.272966727555917,0.333,0.340257758261093
"SBS60",0.012,0.0119029029978263,0.07,0.0704998404760739,0.014,0.0136892185761177,0.021,0.0212438860649773,0.085,0.0856315512081608
"SBS84",0.186,0.199736030517249,0.138,0.16415666355213,0.38,0.405750368190753,0.174,0.204361292570597,0.283,0.34825736304896
"SBS85",0.059,0.068647736900843,0.048,0.0622925405551133,0.139,0.168508047222295,0.204,0.22318763561924,0.116,0.154903990556645
"SBS86",0.131,0.150372349687411,0.106,0.115144272840889,0.234,0.258390981710019,0.411,0.434521076646925,0.239,0.255628995464112
"SBS87",0.675,0.743786663345279,0.196,0.239226669133706,0.429,0.551141738739734,0.348,0.354898708976028,0.123,0.162328076074574
"SBS88",0.094,0.121439232215574,0.05,0.0657319414270826,0.042,0.0662076982341765,0.224,0.275371679160351,0.119,0.162316981666535
"SBS89",0.145,0.195061773819492,0.434,0.4978112493111,0.418,0.502654916760109,0.454,0.552367869684757,0.416,0.500139020888619
"SBS90",0.019,0.0217712013169005,0.024,0.0277292383852332,0.015,0.0178409562636874,0.093,0.100897813350636,0.079,0.0875315878633377
"SBS91",0.045,0.0456399843323269,0.116,0.116231679071054,0.124,0.125352593313853,0.222,0.222427477794519,0.078,0.0784918399928129
"SBS92",0.213,0.242908019536453,0.307,0.414635380378082,0.505,0.553319583265066,0.419,0.523308329789547,0.304,0.387115257253427
"SBS93",0.176,0.255673669789194,0.158,0.231157867368353,0.336,0.510348412472952,0.334,0.443131672974658,0.406,0.463944863180793
"SBS94",0.311,0.345566951481457,0.711,0.796479683553155,0.514,0.586932554194295,0.413,0.456617873637765,0.416,0.487976820427732
"SBS95",0.16,0.174854402806211,0.765,0.793190946602773,0.467,0.491187351001739,0.453,0.506060332027312,0.433,0.478886938270781
"SBS96",0.206,0.262680783962617,0.178,0.218839000244329,0.291,0.384664021733497,0.333,0.417421363663895,0.331,0.39524579631158
"SBS97",0.106,0.106030395969328,0.073,0.0733181895328582,0.51,0.511069065362122,0.1,0.100389205937692,0.182,0.200347241329343
"SBS98",0.331,0.396638699584382,0.174,0.201007328939589,0.288,0.338506122654052,0.3,0.363432621134359,0.218,0.269297487183198
"SBS99",0.106,0.137427489925388,0.155,0.192949802570457,0.37,0.417115803001825,0.294,0.362503172700225,0.314,0.357318073520499
