"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3"
"SBS17a",0.041,0.0415594116249838,0.023,0.0245759908273109,0.245,0.245682863854436
"SBS17b",0.026,0.0271884933039733,0.005,0.00522903705562192,0.34,0.342920653632074
"SBS18",0.191,0.219461078739028,0.656,0.660478214516718,0.471,0.486049724217083
"SBS19",0.211,0.214514832669502,0.108,0.119585276281578,0.263,0.263030060916393
"SBS20",0.208,0.210257414173625,0.64,0.663029828577817,0.196,0.211243919446525
"SBS21",0.157,0.160248882409954,0.084,0.1108195405258,0.191,0.220984560083222
"SBS22a",0.038,0.0393180196825153,0.094,0.107767566929312,0.173,0.186310068641768
"SBS22b",0.081,0.0881166707130946,0.14,0.146757339229162,0.193,0.201010651520974
"SBS23",0.265,0.265453951149163,0.113,0.118840947608556,0.311,0.310980949614587
"SBS24",0.192,0.243174055539753,0.781,0.80911851652546,0.502,0.551398054757302
"SBS25",0.326,0.415643899661756,0.412,0.486090144263651,0.505,0.57647536767486
"SBS26",0.193,0.201124415952748,0.105,0.128536572661093,0.239,0.273518007363143
"SBS27",0.081,0.0827539211433476,0.111,0.121637092254263,0.108,0.122345356838682
"SBS28",0.025,0.0250445834341394,0.018,0.0186191809004538,0.19,0.195197651784146
"SBS29",0.205,0.222341348937681,0.827,0.833419912511939,0.479,0.519566354423693
"SBS30",0.276,0.280563074556454,0.206,0.211126393364972,0.379,0.380195034931343
"SBS31",0.199,0.205635799208828,0.244,0.249385246981495,0.31,0.315128958686837
"SBS32",0.265,0.275664448911076,0.266,0.278286095750933,0.336,0.342128516341033
"SBS33",0.115,0.115269397892007,0.059,0.0685089189660348,0.131,0.133831715370499
"SBS34",0.073,0.0729139739561031,0.046,0.0472040716611734,0.038,0.0396179063945639
"SBS35",0.123,0.149578088482705,0.584,0.589746851183349,0.446,0.45749878173214
"SBS36",0.098,0.110432987813883,0.57,0.570178499725575,0.359,0.369158151553908
"SBS37",0.154,0.184604511917625,0.133,0.184958656824196,0.278,0.335518382005599
"SBS38",0.048,0.0483892256187606,0.494,0.493966588906011,0.312,0.350279572684646
"SBS39",0.161,0.193778956438587,0.334,0.365350194675112,0.591,0.620424070703799
"SBS40a",0.341,0.372224412099237,0.503,0.56271038730855,0.633,0.668779711897274
"SBS40b",0.199,0.240192683130652,0.333,0.386746612107403,0.592,0.644605250618991
"SBS40c",0.329,0.356941798465491,0.425,0.497312746867024,0.583,0.637153894455863
"SBS41",0.181,0.199409270291629,0.13,0.149316466058551,0.36,0.379764987881932
"SBS42",0.249,0.263523415630803,0.383,0.432052119667988,0.503,0.515012027274018
"SBS43",0.037,0.0392816215820984,0.108,0.120703188081882,0.177,0.189810111743874
"SBS44",0.396,0.3993211449244,0.432,0.478976037109829,0.291,0.31606185906462
