"","sample","Sig1","Sig2","Sig3"
"27","TUMOR_31_dbgap","1.882461e-01","8.117539e-01","4.545592e-15"
"28","TUMOR_32_dbgap","4.536981e-15","8.634329e-01","1.365671e-01"
"29","TUMOR_33_dbgap","2.038302e-01","2.252763e-01","5.708935e-01"
"30","TUMOR_36_dbgap","1.815593e-02","3.130851e-01","6.687590e-01"
"31","TUMOR_37_dbgap","2.383735e-11","8.145665e-01","1.854335e-01"
"32","TUMOR_38_dbgap","7.149234e-01","9.928117e-03","2.751485e-01"
"33","TUMOR_39_dbgap","3.196837e-01","2.594866e-01","4.208297e-01"
"34","TUMOR_4","3.832447e-01","4.507227e-15","6.167553e-01"
"35","TUMOR_4_dbgap","6.500915e-01","3.499085e-01","4.545592e-15"
"36","TUMOR_40_dbgap","6.884343e-12","1.000000e+00","2.188485e-10"
"37","TUMOR_41_dbgap","1.745973e-11","1.000000e+00","2.857371e-11"
"38","TUMOR_42_dbgap","4.804237e-01","3.063909e-01","2.131854e-01"
"39","TUMOR_43_dbgap","1.534089e-01","8.465911e-01","4.545592e-15"
"40","TUMOR_44_dbgap","1.579930e-01","8.420070e-01","1.020701e-11"
"41","TUMOR_45_dbgap","4.536981e-15","2.532644e-01","7.467356e-01"
"42","TUMOR_47_dbgap","1.227203e-01","8.772797e-01","4.545592e-15"
"43","TUMOR_48_dbgap","1.979776e-01","6.488541e-01","1.531683e-01"
"44","TUMOR_49_dbgap","1.807344e-01","4.507227e-15","8.192656e-01"
"45","TUMOR_5","5.303013e-01","3.098809e-11","4.696986e-01"
"46","TUMOR_5_dbgap","2.597029e-01","5.723913e-01","1.679058e-01"
"47","TUMOR_51_dbgap","1.000000e+00","4.507227e-15","1.959329e-11"
"48","TUMOR_52_dbgap","6.722973e-01","3.277027e-01","4.545592e-15"
"49","TUMOR_53_dbgap","2.926254e-01","2.634247e-01","4.439500e-01"
"50","TUMOR_58_dbgap","3.385235e-01","3.052693e-01","3.562072e-01"
"51","TUMOR_59_dbgap","2.742439e-01","2.875776e-01","4.381784e-01"
"52","TUMOR_6","3.171625e-01","1.070397e-01","5.757978e-01"
"53","TUMOR_60_dbgap","7.416667e-01","2.135592e-01","4.477409e-02"
"54","TUMOR_61_dbgap","2.378796e-06","9.999976e-01","9.837701e-12"
"55","TUMOR_62_dbgap","5.517400e-01","3.743163e-01","7.394370e-02"
"56","TUMOR_63_dbgap","2.814975e-01","7.185025e-01","4.545592e-15"
"57","TUMOR_64_dbgap","6.878968e-02","4.507227e-15","9.312103e-01"
"58","TUMOR_65_dbgap","6.885038e-01","4.096175e-08","3.114962e-01"
"59","TUMOR_67_dbgap","5.008259e-01","4.991741e-01","4.545592e-15"
"60","TUMOR_68_dbgap","5.856492e-11","1.000000e+00","7.223979e-11"
"61","TUMOR_69_dbgap","4.761990e-01","3.281199e-01","1.956811e-01"
"62","TUMOR_7","1.680321e-01","3.091319e-01","5.228360e-01"
"63","TUMOR_7_dbgap","3.338817e-01","3.901591e-01","2.759591e-01"
"64","TUMOR_74_dbgap","9.122622e-01","5.814635e-02","2.959145e-02"
"65","TUMOR_75_dbgap","5.982088e-01","2.957984e-02","3.722113e-01"
"66","TUMOR_76_dbgap","1.537232e-01","8.462768e-01","4.545592e-15"
"67","TUMOR_8","2.371390e-01","1.855798e-01","5.772812e-01"
"68","TUMOR_8_dbgap","5.907874e-01","1.455783e-01","2.636343e-01"
"69","TUMOR_80_dbgap","2.565998e-01","4.507227e-15","7.434001e-01"
"70","TUMOR_9","1.890522e-01","4.507227e-15","8.109477e-01"
"71","TUMOR_9_dbgap","1.233044e-01","2.341724e-01","6.425232e-01"
